,,,,,,,,,,,,,,,
Analyzed Date,Plant,รายการ,ประเภท,lot,วันที่ผลิต,ผลที่ไม่ผ่าน,,,,,,,,,
30/10/2025,1 A,"FZN Gochujung chicken Kimbap 200 g, JAP Confirm L.mono",Confirm,A1Rep.2,261025,Detected Listeria monocytogenes,,,,,,,,,
30/10/2025,1 A,"FZN Gochujung chicken Kimbap 200 g, JAP สินค้าหลังฟรีส",,A1,291025,Detected Listeria monocytogenes,,,,,,,,,
30/10/2025,1 A,"FZN Gochujung chicken Kimbap 200 g, JAP Semi น้ำจากก๊อก",,A1,291025,Detected Listeria monocytogenes,,,,,,,,,
31/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob",FG,A1-A5,301025,Detected Listeria monocytogenes,,,,,,,,,
1/11/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob ตรวจแบบPCR",FG,A1-A5,311025,Detected Listeria monocytogenes,,,,,,,,,
5/11/2025,4,"BGข้าวเหนียวหมูทอดEZYGO140gIMP2025,7-11",FG,A1,051125,Detected Listeria monocytogenes,,,,,,,,,
8/11/2025,2,"ไส้เบอร์เกอร์ไก่ 41 กรัม LV2025, WIP",WIP,A1-A5,071125,Detected Listeria monocytogenes,,,,,,,,,
15/11/2025,4,StirFriedNoodlesSoySauce&Pork250g,FG,A2,131125,Yeasts&Molds=150 cfu/g,,,,,,,,,
18/11/2025,1B,"Grilled BBQ ChickenEZYGO90g,7-11Cambodia",FG,A1,171125,Bacillus cereus =160 cfu/g,,,,,,,,,
25/11/2025,5,สลัดปูอัด top seal อีซี่เฟรช 145g เช็คเชื้อต่อเนื่อง 4 WEEK (WEEK ที่ 3 ),FG,A1,251125,Detected Listeria monocytogenes,,,,,,,,,
26/11/2025,1ฺB,สปาเก็ตตี้ขี้เมาไก่สับ ตรา เดลิกาเซีย,FG,A1-A3,251125,Detected Listeria monocytogenes,,,,,,,,,
4/12/2025,4,"กิวยากินิคุด้ง 275 กรัม, Chilled **PTR **",PTR,A2,031225,Detected Listeria monocytogenes,,,,,,,,,
4/12/2025,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.251203,ผ.251118 ม.260317,Bacillus cereus =110 cfu/g,,,,,,,,,
8/12/2025,RM,น้ำพริกกากหมู รสเผ็ดมาก ตรา แม่แอ๊ว#VA,RM,ร.251206,ผ.251128 ม.260228,Bacillus cereus =280 cfu/g,,,,,,,,,
9/12/2025,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.251208,ผ.251122 ม.260321,Bacillus cereus =130 cfu/g,,,,,,,,,
12/12/2025,5,สลัดปูอัด top seal อีซี่เฟรช 145g,FG,A1,121225,Detected Listeria monocytogenes,,,,,,,,,
12/12/2025,5,สลัดปูอัด top seal อีซี่เฟรช 145g,FG,A3,121225,Detected Listeria monocytogenes,,,,,,,,,
13/12/2025,5,สลัดปูอัด top seal อีซี่เฟรช 145g,FG,A1,141225,Detected Listeria monocytogenes,,,,,,,,,
17/12/2025,5,ซีซาร์สลัดอกไก่ย่าง160g.IMP2024,FG,A6,161225,Detected Listeria monocytogenes,,,,,,,,,
17/12/2025,5,ส้มตำไทยไข่เค็ม อีซี่เฟรช 200G ,FG,A4,161225,Detected Listeria monocytogenes,,,,,,,,,
18/12/2025,5,ซีซาร์สลัดอกไก่ย่าง160g.IMP2024 ,FG,A1,181225,Detected Listeria monocytogenes,,,,,,,,,
19/12/2025,5,ซีซาร์สลัดอกไก่ย่าง160g.IMP2024 ,FG,A1,191225,Detected Listeria monocytogenes,,,,,,,,,
17/12/2025,BNG1," โอนิกิริแซลมอนย่างเกลือ100gLV2025,Chill (PTR 081225 Day 3)",PTR,PTR,081225,Detected Listeria monocytogenes,,,,,,,,,
25/12/2025,2,FZN Sweet & Sour Hot Cross Buns,FG,"A1,A2,A3,A4",241225,Yeasts&Molds=180 cfu/g,,,,,,,,,
5/1/2026,1B,"ก๋วยจั๊บญวน195g.,FZ",FG,A1,030126,Detected Listeria monocytogenes,,,,,,,,,
6/1/2026,1B,"	ข้าวปลาผัดพริกสด230กรัม(LV2025), Chilled",FG,A2-A3,050126,Escherichia coli =60 cfu/g,,,,,,,,,
7/1/2026,3,"ข้าวคั่วกลิ้ง(หมูผสมไก่)225กรัม IMP24,Fz Monitor ประจำเดือน ม.ค. 2026",FG,A1-A3,260106,Detected Listeria monocytogenes,,,,,,,,,
9/1/2025,1B,90139342 ข้าวหมูทอดซอสกระเทียมพริกไทย 265 กรัม,FG,A1-A6,080126,Detected Listeria monocytogenes,,,,,,,,,
13/1/2026,RM,"	กุ้งแกะแห้ง (2 กรัม) #SA",RM,ร.260112,ผ.260107 ม.260506,Bacillus cereus =110 cfu/g,,,,,,,,,
14/1/2026,3,ข้าวญี่ปุ่นผัดแซลมอนลดโซเดียม205gIMP23FZ Monitor ประจำเดือน ม.ค. 2026,FG,A1-A5,260113,Yeasts&Molds=460 cfu/g,,,,,,,,,
15/1/2026,RM,พาร์มิซานชีสและเชดด้าชีสชนิดขูดเส้น #A lot 01,RM,ร.260115,ผ.260114 ม.270113,"TPC=11,000,000 cfu/g",,,,,,,,,
15/1/2026,RM,พาร์มิซานชีสและเชดด้าชีสชนิดขูดเส้น #A lot 02,RM,ร.260115,ผ.260114 ม.270113,"TPC=8,900,000 cfu/g",,,,,,,,,
15/1/2026,RM,พาร์มิซานชีสและเชดด้าชีสชนิดขูดเส้น #A lot 03,RM,ร.260115,ผ.260114 ม.270113,"TPC=1,300,000 cfu/g",,,,,,,,,
17/1/2026,BNG2,"ข้าวไก่กระเทียม 320 g (LV2025),Chilled",FG,"A2,A3,A5",160126,Detected Listeria monocytogenes,,,,,,,,,
19/1/2026,BNG2,"ข้าวแกงเขียวหวานไก่+หมูปั้นก้อน300g,Chil",FG,A2,180126,Detected Listeria monocytogenes,,,,,,,,,
19/1/2026,1,"ข้าวกะเพราหมู 270 กรัม, เทสตี้ โก",FG,A1-A6,190126,Bacillus cereus =130 cfu/g,,,,,,,,,
22/1/2026,RM,กุ้งแกะแห้ง (2 กรัม) #SA,RM,ร.260122,ผ.260120 ม.260519,Bacillus cereus =100 cfu/g,,,,,,,,,
27/01/69,RM,"FZNfullyfriedSLWT fishcube4-8g/PC#SA	",RM,ร.260122/4,251225,Detected Listeria monocytogenes,,,,,,,,,
6/2/2026,BNG1,"ซูชิโรลยำสาหร่ายไข่กุ้ง100gIMP2024,Chill",FG,"A2,A8,B1",50226,Detected Listeria monocytogenes,,,,,,,,,
